country,year,co2_emissions,greenhouse_gas_emissions,cereal_yield,population_growth,GDP,fresh_water,urban_population,nitrous_oxide,agricultural_land,rural_population
Brunei Darussalam,2020,21.7058124398664,,,,,,,,,
Brunei Darussalam,2019,16.111932938856,,,,,,,,,
Brunei Darussalam,2018,17.3623104307419,,,,,,,,,
Brunei Darussalam,2017,16.9430783961922,,,,,,,,,
Brunei Darussalam,2016,16.358211618004,,,,,,,,,
Brunei Darussalam,2015,15.1806794372587,,,,,,,,,
Brunei Darussalam,2014,16.9931550247686,,,,,,,,,
Brunei Darussalam,2013,17.5097521994064,,,,,,,,,
Brunei Darussalam,2012,17.9510321320893,,,,,,,,,
Brunei Darussalam,2011,18.2629898432402,,,,,,,,,
Brunei Darussalam,2010,18.1056575761325,,,,,,,,,
Brunei Darussalam,2009,20.1744250097999,,,,,,,,,
Brunei Darussalam,2008,20.5750348442928,,,,,,,,,
Brunei Darussalam,2007,18.8600335843358,,,,,,,,,
Brunei Darussalam,2006,20.1733868371923,,,,,,,,,
Brunei Darussalam,2005,13.610767976396,,,,,,,,,
Brunei Darussalam,2004,14.1568713397566,,,,,,,,,
Brunei Darussalam,2003,15.5785281532009,,,,,,,,,
Brunei Darussalam,2002,13.296667558848,,,,,,,,,
Brunei Darussalam,2001,13.8190099428317,,,,,,,,,
Brunei Darussalam,2000,14.128579385852,,,,,,,,,
Brunei Darussalam,1999,13.5547095965387,,,,,,,,,
Brunei Darussalam,1998,14.1117344261476,,,,,,,,,
Brunei Darussalam,1997,16.6824705074789,,,,,,,,,
Brunei Darussalam,1996,15.7650655135926,,,,,,,,,
Brunei Darussalam,1995,15.381966385487,,,,,,,,,
Brunei Darussalam,1994,14.6097590217,,,,,,,,,
Brunei Darussalam,1993,13.796700537032,,,,,,,,,
Brunei Darussalam,1992,12.9242725725986,,,,,,,,,
Brunei Darussalam,1991,12.5416882828133,,,,,,,,,
Brunei Darussalam,1990,12.447313765615,,,,,,,,,
China,2020,7.75613790659769,,,,,,,,,
China,2019,7.64543578560038,,,,,,,,,
China,2018,7.53319313353674,,,,,,,,,
China,2017,7.22616015441748,,,,,,,,,
China,2016,7.10547993572515,,,,,,,,,
China,2015,7.14513153508327,,,,,,,,,
China,2014,7.30471287157582,,,,,,,,,
China,2013,7.32015492503154,,,,,,,,,
China,2012,7.04520023039603,,,,,,,,,
China,2011,6.90134732553428,,,,,,,,,
China,2010,6.33541976743751,,,,,,,,,
China,2009,5.79831993750282,,,,,,,,,
China,2008,5.43507909606652,,,,,,,,,
China,2007,5.30636800631315,,,,,,,,,
China,2006,4.91027619715946,,,,,,,,,
China,2005,4.46769636118185,,,,,,,,,
China,2004,3.94515487143877,,,,,,,,,
China,2003,3.43403647935424,,,,,,,,,
China,2002,2.96482122774133,,,,,,,,,
China,2001,2.77476219679994,,,,,,,,,
China,2000,2.65040910152893,,,,,,,,,
China,1999,2.51742076336975,,,,,,,,,
China,1998,2.60583573214379,,,,,,,,,
China,1997,2.54790366441071,,,,,,,,,
China,1996,2.52187187384502,,,,,,,,,
China,1995,2.5634787588548,,,,,,,,,
China,1994,2.32218922921378,,,,,,,,,
China,1993,2.24484207935915,,,,,,,,,
China,1992,2.07574040533233,,,,,,,,,
China,1991,2.00054328368585,,,,,,,,,
China,1990,1.91454626338438,,,,,,,,,
Cayman Islands,2020,,,,,,,,,,
Cayman Islands,2019,,,,,,,,,,
Cayman Islands,2018,,,,,,,,,,
Cayman Islands,2017,,,,,,,,,,
Cayman Islands,2016,,,,,,,,,,
Cayman Islands,2015,,,,,,,,,,
Cayman Islands,2014,,,,,,,,,,
Cayman Islands,2013,,,,,,,,,,
Cayman Islands,2012,,,,,,,,,,
Cayman Islands,2011,,,,,,,,,,
Cayman Islands,2010,,,,,,,,,,
Cayman Islands,2009,,,,,,,,,,
Cayman Islands,2008,,,,,,,,,,
Cayman Islands,2007,,,,,,,,,,
Cayman Islands,2006,,,,,,,,,,
Cayman Islands,2005,,,,,,,,,,
Cayman Islands,2004,,,,,,,,,,
Cayman Islands,2003,,,,,,,,,,
Cayman Islands,2002,,,,,,,,,,
Cayman Islands,2001,,,,,,,,,,
Cayman Islands,2000,,,,,,,,,,
Cayman Islands,1999,,,,,,,,,,
Cayman Islands,1998,,,,,,,,,,
Cayman Islands,1997,,,,,,,,,,
Cayman Islands,1996,,,,,,,,,,
Cayman Islands,1995,,,,,,,,,,
Cayman Islands,1994,,,,,,,,,,
Cayman Islands,1993,,,,,,,,,,
Cayman Islands,1992,,,,,,,,,,
Cayman Islands,1991,,,,,,,,,,
Cayman Islands,1990,,,,,,,,,,
Greenland,2020,,,,,,,,,,
Greenland,2019,,,,,,,,,,
Greenland,2018,,,,,,,,,,
Greenland,2017,,,,,,,,,,
Greenland,2016,,,,,,,,,,
Greenland,2015,,,,,,,,,,
Greenland,2014,,,,,,,,,,
Greenland,2013,,,,,,,,,,
Greenland,2012,,,,,,,,,,
Greenland,2011,,,,,,,,,,
Greenland,2010,,,,,,,,,,
Greenland,2009,,,,,,,,,,
Greenland,2008,,,,,,,,,,
Greenland,2007,,,,,,,,,,
Greenland,2006,,,,,,,,,,
Greenland,2005,,,,,,,,,,
Greenland,2004,,,,,,,,,,
Greenland,2003,,,,,,,,,,
Greenland,2002,,,,,,,,,,
Greenland,2001,,,,,,,,,,
Greenland,2000,,,,,,,,,,
Greenland,1999,,,,,,,,,,
Greenland,1998,,,,,,,,,,
Greenland,1997,,,,,,,,,,
Greenland,1996,,,,,,,,,,
Greenland,1995,,,,,,,,,,
Greenland,1994,,,,,,,,,,
Greenland,1993,,,,,,,,,,
Greenland,1992,,,,,,,,,,
Greenland,1991,,,,,,,,,,
Greenland,1990,,,,,,,,,,
Kenya,2020,0.374079219355755,,,,,,,,,
Kenya,2019,0.382362032876395,,,,,,,,,
Kenya,2018,0.385437968227287,,,,,,,,,
Kenya,2017,0.41058150997657,,,,,,,,,
Kenya,2016,0.403178474765564,,,,,,,,,
Kenya,2015,0.386120073710359,,,,,,,,,
Kenya,2014,0.364375325524079,,,,,,,,,
Kenya,2013,0.32120873806002,,,,,,,,,
Kenya,2012,0.296879604689277,,,,,,,,,
Kenya,2011,0.327520882772203,,,,,,,,,
Kenya,2010,0.323340092266238,,,,,,,,,
Kenya,2009,0.307805552827632,,,,,,,,,
Kenya,2008,0.265693416128019,,,,,,,,,
Kenya,2007,0.25945667922109,,,,,,,,,
Kenya,2006,0.264463997037475,,,,,,,,,
